Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
17955,Yes,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Full-stack developer,15-17 years,,,,,,,,,,,,,,,,,,,,,,
18312,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,15-17 years,,,,,,Julia;Python;R;VBA;Bash/Shell,SQLite;Apache Hive,,,,,,,,,,,,,,,
18330,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Front-end developer;Full-stack developer,0-2 years,0-2 years,I am not interested in new job opportunities,Less than a year ago,5.0,3000,JavaScript;PHP;Ruby;SQL;HTML;CSS,MongoDB;PostgreSQL,Heroku;Mac OS;WordPress;Firebase,Node.js;React,Atom,MacOS,1,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,I'm not sure
18543,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,3-5 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,6.0,16500,C#;JavaScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;MariaDB,Linux;Windows Desktop or Server,.NET Core,Notepad++;PHPStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,Windows,2,Yes,Strongly agree,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
18668,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,
18677,Yes,Yes,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,8.0,7500,Python;R;Scala;SQL;Bash/Shell,MySQL;Apache Hive,,Spark,Atom;IPython / Jupyter;RStudio,MacOS,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, I have one but it's out of date",5,Yes
18767,No,No,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","10,000 or more employees",Mobile developer,15-17 years,,,,,,,,,,,,,,,5,A few times per week,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
18799,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,,,,,
18937,No,Yes,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Full-stack developer;Mobile developer,9-11 years,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
18950,No,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,10.0,200000,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL;SQLite;Oracle,Android;Windows Desktop or Server,Spring,Eclipse;Notepad++,Windows,2,Yes,Neither agree nor disagree,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",5,Yes
18970,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer,9-11 years,,,,,,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,,Notepad++;Visual Studio,Windows,2,No,Neither agree nor disagree,8,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
18984,No,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;DevOps specialist;Full-stack developer,9-11 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,JavaScript;Python,MySQL,Linux;Mac OS,React,Visual Studio Code,MacOS,2,Yes,Somewhat agree,6,Daily or almost daily,Yes,A few times per month or weekly,,"No, I know what it is but I don't have one",,Yes
19126,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer,6-8 years,0-2 years,I am actively looking for a job,Between 1 and 2 years ago,7.0,3000,Java;JavaScript;HTML;CSS,,Linux;Windows Desktop or Server,Spring,IntelliJ;Notepad++,Windows,2,I'm not sure/I don't know,Somewhat agree,9,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",7,Yes
19236,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,3720000,C#;JavaScript;SQL;TypeScript;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Google Cloud Platform/App Engine;Serverless,Angular;.NET Core,Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Yes,Somewhat agree,8,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,Yes
19440,Yes,No,China,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,Front-end developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,10.0,5000,JavaScript;HTML;CSS,MySQL,Windows Desktop or Server,Node.js,Eclipse;IntelliJ;Notepad++;Sublime Text;Visual Studio Code,Windows,1,Yes,Somewhat agree,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
19668,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,DevOps specialist;Full-stack developer,6-8 years,,,,,,C++;Python;SQL,Redis;MySQL;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,,,,,,,,10 (Very Likely),A few times per week,Yes,A few times per week,"No, I didn't know that Stack Overflow had a jobs board","No, I know what it is but I don't have one",,Yes
19678,Yes,Yes,China,No,Employed full-time,Some college/university study without earning a degree,Mathematics or statistics,20 to 99 employees,Back-end developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,25000,Java;JavaScript;SQL;HTML,MongoDB;Redis;MySQL;Elasticsearch,AWS;Google Cloud Platform/App Engine;Google Home;iOS;Linux;Windows Desktop or Server,Angular;Spring,Eclipse;IntelliJ;Notepad++;Sublime Text,Windows,1,Yes,Strongly agree,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
19814,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,62500,C++;C#;Java;Matlab;Python,,Arduino;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core;TensorFlow,IPython / Jupyter;Notepad++;PyCharm;Visual Studio,Windows,3,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
19841,No,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,11.0,350000,C#;Java;JavaScript;HTML;CSS,Cassandra;Elasticsearch,,Spring,IntelliJ;Sublime Text,Windows,2,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
19851,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;DevOps specialist,12-14 years,12-14 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,8.0,,Groovy;Java;Lua;Python;Bash/Shell,MongoDB;Redis;PostgreSQL;Elasticsearch,Azure;Google Cloud Platform/App Engine;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,Spring,Eclipse;IntelliJ;PyCharm;Visual Studio Code,Linux-based,2,I'm not sure/I don't know,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure
19998,Yes,Yes,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Desktop or enterprise applications developer;Full-stack developer,3-5 years,3-5 years,I am actively looking for a job,Between 1 and 2 years ago,4.0,,C;C++;C#;Go;Java;Objective-C;Swift;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;SQLite,Android;AWS;Azure;iOS;Linux;Mac OS;WordPress,.NET Core;Xamarin,Android Studio;IntelliJ;Notepad++;Visual Studio;Xcode,Windows,3,Yes,Strongly agree,2,A few times per month or weekly,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
20020,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Full-stack developer,12-14 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,8.0,4200,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL,Google Cloud Platform/App Engine,Node.js,Android Studio;Atom;Eclipse;Notepad++;Sublime Text,Linux-based,1,No,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,Yes
20042,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,I am actively looking for a job,Between 2 and 4 years ago,7.0,,C;C++;C#;Java;JavaScript;SQL;Swift;CSS,PostgreSQL;Oracle,Linux;Windows Desktop or Server,,IntelliJ;Notepad++;Vim;Visual Studio;Visual Studio Code,Linux-based,3,No,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
20145,Yes,No,China,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,,,,,,,,,,,,,,,,,,,,,,
20231,No,Yes,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",500 to 999 employees,Front-end developer;Game or graphics developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,15000,C++;C#,MongoDB;SQL Server;PostgreSQL,Windows Desktop or Server,.NET Core,Atom;Sublime Text;Visual Studio;Visual Studio Code,Windows,4,,,,,,,,,,
20315,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,6000000,JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;Elasticsearch,AWS;Heroku,Node.js;React,Atom;Vim,MacOS,2,Yes,Somewhat agree,8,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",8,I'm not sure
20351,No,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Embedded applications or devices developer;Mobile developer,12-14 years,6-8 years,I am actively looking for a job,Less than a year ago,4.0,4100,Go;Java;Bash/Shell,MySQL;Amazon RDS/Aurora,Amazon Echo;Android;Google Home;Firebase,,Android Studio;Sublime Text;Vim,MacOS,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,Yes,10 (Very Likely),Yes
20397,No,No,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,6000000,Python;R,,AWS,,IPython / Jupyter;RStudio,Windows,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,No
20497,Yes,Yes,China,"Yes, full-time",Employed full-time,I never completed any formal education,,"10,000 or more employees",Front-end developer,0-2 years,0-2 years,I am actively looking for a job,Less than a year ago,7.0,,,,,,,,,,,,,,,,,,
20552,Yes,Yes,Japan,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Engineering manager,12-14 years,12-14 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,C;Go,,Linux;Mac OS,,,Linux-based,2,Yes,Neither agree nor disagree,,,,,,,,
20608,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer;System administrator,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,200000,C#;Haskell;Java;Matlab;Ruby;Bash/Shell,"PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",AWS;Azure;Google Cloud Platform/App Engine,Spring,IntelliJ;Visual Studio Code,Windows,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
20713,Yes,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,5.0,14000,Python;R,,,,IPython / Jupyter;RStudio,Windows,2,Yes,Strongly agree,10 (Very Likely),A few times per month or weekly,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
20900,No,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",Fewer than 10 employees,Back-end developer;Front-end developer,3-5 years,,,,,,Java;JavaScript;PHP;HTML;CSS,,,,,,,,,,,,,,,,
21016,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Full-stack developer,9-11 years,6-8 years,I am not interested in new job opportunities,Less than a year ago,4.0,,C#;JavaScript;SQL,SQL Server,,,Notepad++;Visual Studio,Windows,2,I'm not sure/I don't know,Neither agree nor disagree,8,Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,Yes
21058,Yes,No,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer,6-8 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,6.0,15000,C++;Python,SQL Server;MySQL,Linux;Windows Desktop or Server,,IntelliJ;IPython / Jupyter;Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,2,Yes,Somewhat disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
21179,No,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,20 to 99 employees,Back-end developer;Designer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,1.0,13000,Java;JavaScript;PHP;SQL;HTML;CSS,MongoDB;Redis;MySQL,,Spring,IntelliJ,Windows,4,No,Neither agree nor disagree,10 (Very Likely),Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,No
21289,Yes,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,11.0,,C;C++;Objective-C;Swift,SQL Server;MySQL;SQLite,Android;iOS,Node.js,Android Studio;Atom;Notepad++;Visual Studio;Visual Studio Code;Xcode,MacOS,1,,,,,,,,,,
21317,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,9-11 years,,,,,,Java;JavaScript;Scala;SQL;TypeScript;HTML;CSS,Apache HBase;Apache Hive,,,,,,,,,,,,,,,
21392,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;DevOps specialist;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6.0,,C;C++;Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;Oracle;Amazon DynamoDB;Amazon RDS/Aurora,AWS;Firebase,,RubyMine;Sublime Text;TextMate;Vim;Visual Studio Code,Linux-based,2,Yes,Strongly disagree,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,Yes,10 (Very Likely),Yes
21400,No,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,,,,,,,,,,,,,,,,,
21716,Yes,No,South Korea,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Mobile developer,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,60000000,Java;JavaScript,,Android;iOS;Firebase,Angular;Node.js;Cordova,Android Studio;Eclipse;IntelliJ;Sublime Text;Xcode,Windows,2,Yes,Somewhat disagree,8,A few times per week,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
21737,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Engineering manager;Product manager,12-14 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,6.0,,C#;Python,SQL Server;Amazon DynamoDB;Amazon Redshift;Neo4j,AWS;Azure,.NET Core,Visual Studio;Visual Studio Code,Windows,1,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
21747,Yes,Yes,China,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3.0,,C#;Java;JavaScript;Python;SQL;Swift;Kotlin;HTML;CSS,Redis;MySQL;Oracle;IBM Db2;Memcached,Android;iOS;Windows Desktop or Server,Spring,Android Studio;Eclipse;IntelliJ;PyCharm;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,2,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
21927,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;Embedded applications or devices developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,I am actively looking for a job,Between 2 and 4 years ago,9.0,5000000,C#;Java;JavaScript;SQL;HTML;Bash/Shell,SQL Server;MySQL;PostgreSQL,Android;AWS;Google Cloud Platform/App Engine;Raspberry Pi,Angular;Node.js;React;Spring,Android Studio;Atom;Eclipse;Notepad++,Windows,2,Yes,Somewhat disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",6,Yes
22094,Yes,Yes,China,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,4.0,300000,Go;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;Elasticsearch,Linux;Mac OS,Node.js;React;Spring,IntelliJ;Sublime Text;Vim,MacOS,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
22095,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer,9-11 years,9-11 years,I am actively looking for a job,More than 4 years ago,7.0,5000,SQL;Cobol,IBM Db2,Mainframe,,Notepad++,Windows,1,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
22119,Yes,Yes,South Korea,No,Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Product manager,3-5 years,0-2 years,I am actively looking for a job,More than 4 years ago,,,JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL,Serverless;Windows Desktop or Server;Firebase,Node.js;React,Sublime Text,Windows,2,No,Strongly disagree,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
22191,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,6-8 years,3-5 years,I am actively looking for a job,Between 1 and 2 years ago,,,,,,,,,,,,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",0 (Not Likely),I'm not sure
22259,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Designer;Front-end developer;Full-stack developer,3-5 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,,,JavaScript;PHP;Python;SQL;HTML;CSS,MySQL;MariaDB,,Angular;React,Android Studio;Atom;Notepad++;Sublime Text;Visual Studio Code,Windows,1,Yes,Strongly agree,7,Daily or almost daily,No,,Yes,,10 (Very Likely),No
22289,Yes,No,China,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,,Perl;Python;R;SQL;Bash/Shell,Apache Hive;Elasticsearch,Linux;Mac OS,Hadoop;Spark;TensorFlow,IPython / Jupyter;PyCharm;RStudio;Vim,MacOS,2,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No
22302,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Front-end developer;Mobile developer,12-14 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,7.0,,C#;JavaScript;Objective-C;PHP;SQL;Delphi/Object Pascal;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,Android;AWS;iOS;Mac OS;Raspberry Pi;Windows Desktop or Server;Windows Phone;WordPress,.NET Core,Android Studio;Atom;Notepad++;Visual Studio;Visual Studio Code;Xcode,Windows,2,I'm not sure/I don't know,Somewhat disagree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
