Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
28910,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Full-stack developer,9-11 years,3-5 years,I am not interested in new job opportunities,Between 2 and 4 years ago,,6500,C#;Java;Python,MongoDB;MySQL;PostgreSQL;SQLite,Linux;Windows Desktop or Server,Hadoop;Node.js,Sublime Text;Visual Studio Code,Windows,1,Yes,Strongly disagree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
28990,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Front-end developer;Full-stack developer;QA or test developer,3-5 years,3-5 years,I am not interested in new job opportunities,Between 1 and 2 years ago,7.0,5000,C#;Java;JavaScript;Python;SQL;HTML;CSS,Cassandra;MongoDB;Redis;MySQL;PostgreSQL;Elasticsearch,Linux;Mac OS,Django;Node.js,PyCharm;Sublime Text,MacOS,2,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I have one but it's out of date",8,Yes
29135,Yes,Yes,Singapore,No,Employed full-time,,,Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;System administrator,9-11 years,3-5 years,I am actively looking for a job,Less than a year ago,6.0,3000,JavaScript,MongoDB,AWS;Heroku;Serverless;Firebase,Node.js;React,,MacOS,2,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
29408,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Mobile developer,6-8 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,8.0,,Java;JavaScript;HTML;CSS,MySQL;Amazon Redshift,AWS;SharePoint,Angular;Hadoop;Cordova,Sublime Text;Xcode,MacOS,1,Yes,Somewhat disagree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
29914,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,11.0,50000,Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL,Linux;Windows Desktop or Server,Angular;Spring,IntelliJ;Notepad++,Windows,2,Yes,Strongly agree,9,Daily or almost daily,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure
31077,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,3750,Java;JavaScript;Scala;CSS;Bash/Shell,MongoDB;Oracle;Amazon DynamoDB;Elasticsearch,Linux,Node.js;React;Spring,IntelliJ;Notepad++;Sublime Text;Visual Studio Code,Windows,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,No,,Yes,,10 (Very Likely),Yes
31955,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Engineering manager;Mobile developer,9-11 years,,,,,,C++;C#;Java;JavaScript;Python;Kotlin;HTML;CSS,MySQL;SQLite,Android,,Android Studio;IntelliJ;Sublime Text,MacOS,2,Yes,Somewhat agree,,,,,,,,
32105,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",500 to 999 employees,Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer;Marketing or sales professional;Product manager,18-20 years,6-8 years,,,,,,,,,,,,,,,,,,,,,
32291,Yes,No,Singapore,"Yes, part-time",Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Full-stack developer;Mobile developer;QA or test developer;Student,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,45000,C#;Java;JavaScript;Ruby;SQL;VBA;VB.NET;HTML,SQL Server;MySQL,Android;AWS;Heroku;SharePoint;Windows Desktop or Server,.NET Core;Node.js;React,Android Studio;Notepad++;Sublime Text;Visual Studio,Windows,2,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Daily or almost daily,Yes,"No, and I don't know what that is",8,Yes
33352,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Game or graphics developer;Mobile developer,0-2 years,3-5 years,I am actively looking for a job,Between 1 and 2 years ago,2.0,3000,Java,,Android,,Android Studio,Windows,1,Yes,Neither agree nor disagree,8,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",8,I'm not sure
33648,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,7.0,95000,Java;Objective-C;Swift;Kotlin,MySQL,Android;iOS;Firebase,,Android Studio;Xcode,MacOS,2,Yes,Strongly agree,8,Multiple times per day,Yes,A few times per week,Yes,Yes,5,Yes
34056,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8.0,4100,Java,,Android;Firebase,,Android Studio,MacOS,2,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
34107,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,3900,C#;JavaScript;HTML;CSS,SQL Server,,,Visual Studio;Visual Studio Code,Windows,2,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
34372,Yes,Yes,Singapore,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Desktop or enterprise applications developer;Front-end developer;Mobile developer,12-14 years,12-14 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,,C#;JavaScript;HTML;CSS,SQL Server;MySQL,AWS;Mac OS;Windows Desktop or Server,Angular;Node.js;React,Notepad++;Sublime Text;Visual Studio Code,MacOS,1,Yes,Somewhat disagree,9,Multiple times per day,Yes,Daily or almost daily,Yes,Yes,7,Yes
35242,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,11.0,,Groovy;Java;JavaScript;Python;SQL;HTML;CSS,Cassandra;Redis;SQL Server;MySQL;Elasticsearch,Linux;Mac OS,Angular;Node.js;React;Spring,IntelliJ;IPython / Jupyter,MacOS,2,No,Somewhat agree,,,,,,,,
35961,Yes,Yes,Singapore,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;Mobile developer,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,5.0,6000,Go;Java;JavaScript;Objective-C;SQL;Swift;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL,AWS;iOS;Linux;Firebase,,Visual Studio Code;Xcode,MacOS,2,Yes,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",5,Yes
38243,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3.0,4000,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;Oracle,Android;SharePoint;Windows Desktop or Server;WordPress,.NET Core;React;Xamarin,Android Studio;Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,1,Yes,Somewhat agree,8,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
39172,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,9-11 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,,Java;JavaScript;Python;Scala;SQL;Bash/Shell,,,,,Windows,2,,,,,Yes,,,,,
39190,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Front-end developer;Full-stack developer,3-5 years,,,,,,C#;JavaScript;SQL;VBA;VB.NET;HTML;CSS,SQL Server;SQLite,Windows Desktop or Server,,Visual Studio,Windows,2,No,Somewhat agree,,,,,,,,
39455,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,4.0,5000,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Android;Arduino;Google Cloud Platform/App Engine;Linux;Mainframe;Raspberry Pi;Windows Desktop or Server;WordPress,Angular;Django;Node.js;React,Android Studio;Notepad++;Sublime Text;Vim;Visual Studio,Windows,2,No,Neither agree nor disagree,9,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",3,Yes
39658,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,15-17 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,4500,Assembly;C;C++;CoffeeScript;Java;JavaScript;Lua;Python;SQL;HTML;CSS,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;IBM Db2;Apache HBase;Apache Hive;Amazon RDS/Aurora,Android;Arduino;AWS;Azure;Heroku;Linux;Mac OS;Raspberry Pi;Firebase,Angular;Django;Hadoop;Node.js;React;Spark;Spring,Android Studio;Atom;Eclipse;IntelliJ;PyCharm;Visual Studio Code,MacOS,2,Yes,Neither agree nor disagree,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",9,Yes
40529,Yes,No,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Desktop or enterprise applications developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,2.0,130000,C;C++;C#,,,,Visual Studio;Visual Studio Code,Windows,2,No,Neither agree nor disagree,8,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",4,Yes
41073,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Database administrator;Full-stack developer;Product manager,18-20 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,3.0,,C#;JavaScript;SQL;HTML;CSS,SQL Server,,,Notepad++;Visual Studio,Windows,1,Yes,Neither agree nor disagree,10 (Very Likely),A few times per month or weekly,I'm not sure / I can't remember,,"No, I didn't know that Stack Overflow had a jobs board",,,Yes
41240,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Database administrator;Designer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager;QA or test developer,15-17 years,6-8 years,I am not interested in new job opportunities,More than 4 years ago,6.0,6000,C#;JavaScript;Objective-C;PHP;Python;SQL;HTML;CSS;Bash/Shell,"MongoDB;SQL Server;MySQL;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;iOS;Linux;Windows Desktop or Server,.NET Core;Node.js,Notepad++;Sublime Text;Visual Studio;Xcode,Windows,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,Yes
41376,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer,15-17 years,12-14 years,I am actively looking for a job,More than 4 years ago,4.0,,C#;Python,SQL Server;Elasticsearch,Windows Desktop or Server,.NET Core,IPython / Jupyter;Visual Studio;Visual Studio Code,Windows,4,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",7,Yes
41516,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,10.0,110000,Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;SQLite;Apache Hive;Memcached,Android;AWS;Linux;Mac OS,Angular;Hadoop;Spring,Android Studio;Eclipse;IntelliJ;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,MacOS,3,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
41544,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,9-11 years,9-11 years,I am actively looking for a job,Between 2 and 4 years ago,11.0,5000,C#;JavaScript;HTML;CSS,SQL Server,,,,,,,,10 (Very Likely),A few times per week,Yes,A few times per week,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
41695,Yes,No,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Full-stack developer;Mobile developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,
42130,No,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Full-stack developer;System administrator,30 or more years,21-23 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,2.0,,JavaScript;Python;HTML;CSS;Bash/Shell,,AWS;Linux,Node.js,,Linux-based,2,Yes,Somewhat disagree,8,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
42287,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,DevOps specialist;System administrator,15-17 years,3-5 years,I am actively looking for a job,Less than a year ago,10.0,10000,Perl;Bash/Shell,MySQL,Linux,,Emacs;Vim,Linux-based,1,Yes,Strongly disagree,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
42431,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6.0,,Python;R,,,,Notepad++;RStudio,Windows,2,Yes,Neither agree nor disagree,9,Daily or almost daily,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
42454,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Data or business analyst;DevOps specialist,6-8 years,6-8 years,I am not interested in new job opportunities,Between 2 and 4 years ago,4.0,,C#;SQL;VBA,SQL Server,Windows Desktop or Server,,Notepad++;Visual Studio,Windows,2,Yes,Strongly disagree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,Yes
42505,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Database administrator;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8.0,4600,C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite,Linux,Angular;Node.js;React,PyCharm;Sublime Text,Linux-based,2,Yes,Somewhat agree,10 (Very Likely),A few times per week,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,No
43146,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,,JavaScript;Python;HTML;CSS;Bash/Shell,MongoDB,Linux,Node.js;React,Sublime Text,MacOS,1,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,I'm not sure
43909,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,15-17 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,C#;JavaScript;SQL;TypeScript;VBA;VB.NET;Visual Basic 6;HTML;CSS,MongoDB;SQL Server;MySQL;Elasticsearch,Android;iOS;Mac OS;Windows Desktop or Server,Angular;.NET Core;Node.js;React,Notepad++;Visual Studio;Visual Studio Code,Windows,2,No,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
44526,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Front-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,9.0,110000,Java;JavaScript;Objective-C;Python;Swift;HTML;CSS;Bash/Shell,MongoDB;Oracle,AWS;iOS;Mac OS,Angular;Node.js;React;Cordova,Atom;IntelliJ;Sublime Text;Xcode,MacOS,1,Yes,Neither agree nor disagree,8,A few times per week,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",8,Yes
44538,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Full-stack developer,6-8 years,0-2 years,I am actively looking for a job,Between 2 and 4 years ago,,79000,Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,Oracle,Android;Windows Desktop or Server,Angular;Cordova;Spring,IntelliJ,Windows,2,Yes,Somewhat agree,6,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,No
44820,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Database administrator;Educator or academic researcher;Embedded applications or devices developer,30 or more years,12-14 years,I am not interested in new job opportunities,More than 4 years ago,,,,,,,,,,,,,,,,,,,
44930,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;DevOps specialist;Full-stack developer;Mobile developer;QA or test developer,18-20 years,9-11 years,I am not interested in new job opportunities,Less than a year ago,3.0,8500,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;Oracle;MariaDB,Linux;Mac OS;WordPress,Angular;Spring,Android Studio;Eclipse;IntelliJ;Notepad++;Sublime Text;Vim,MacOS,2,Yes,Strongly agree,10 (Very Likely),A few times per week,Yes,A few times per week,Yes,"No, and I don't know what that is",6,Yes
45109,Yes,Yes,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Front-end developer,15-17 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,Perl;PHP;Python;R;Scala;SQL;VB.NET;Bash/Shell,SQL Server;Oracle,Linux,.NET Core,IPython / Jupyter;PHPStorm;Visual Studio;Visual Studio Code,BSD/Unix,2,No,Somewhat agree,,,,,,,,
45360,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,18-20 years,12-14 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,C++;Haskell,,,,Emacs;Notepad++;Visual Studio,Windows,3,No,Somewhat agree,8,A few times per month or weekly,No,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure
45372,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,6-8 years,,,,,,JavaScript;SQL;TypeScript;Bash/Shell,Redis;MySQL,AWS;Serverless,Angular;Node.js,Visual Studio Code,MacOS,1,Yes,Strongly disagree,5,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Yes,Yes,5,Yes
45938,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,9-11 years,,,,,,C#;Java;SQL;TypeScript;VBA;HTML;CSS,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",7,Yes
46171,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,3.0,,,,,,,,,,,,,,,,,,
46384,Yes,No,Singapore,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"5,000 to 9,999 employees",Back-end developer;DevOps specialist,15-17 years,,,,,,,,,,,,,,,,,,,,,,
47009,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"1,000 to 4,999 employees",Front-end developer;Mobile developer,9-11 years,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
47012,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Database administrator;Full-stack developer,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,4.0,7000,JavaScript;Lua;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;MariaDB,Linux;Mac OS,Node.js;React,IntelliJ;IPython / Jupyter;PyCharm;Vim,Linux-based,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,I'm not sure
47427,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,6000,Java;JavaScript;HTML;CSS,SQL Server;MySQL,Android;Windows Desktop or Server,Angular,Android Studio;Eclipse;IntelliJ;Visual Studio,Windows,2,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,I'm not sure
49602,Yes,Yes,Singapore,No,Employed full-time,"Professional degree (JD, MD, etc.)",,"10,000 or more employees",Back-end developer;Desktop or enterprise applications developer,27-29 years,,,,,,Assembly;C++;Haskell;Rust,,Arduino;AWS;Linux;Windows Desktop or Server,,Emacs,Windows,3,Yes,Somewhat disagree,,,,,,,,
